MplusiD,age,gender,race,grade,aspiration,interest1,interest2,interest3,zip,median_income,percent_bachelors
66,15,1,7,4,1,5,5,5, , , 
66,15,1,7,9,1, , , ,47803,41125,23.1
67,15,0,7,4,5,3,3,3, , , 
67,15,0,7,9,5, , , ,33558,54731,33.3
69,14,0,7, , , , , ,30327,65037,51.2
71,14,0,7, , , , , ,27587,77318,52.2
74,14,1,2, , , , , ,53713,72268,51.5
77,16,1,7, , , , , ,15902,46598,21.3
80,16,0,3, , , , , ,12205,66204,42.8
81,16,0,7, , , , , ,27253,45150,23.4
86,17,1,5, , , , , ,76542,52479,26.9
87,14,1,4,5,6,3,2,2, , , 
87,14,1,4,8,6, , , ,30115,76368,36.5
89,15,0,7, , , , , ,7827,90026,36.7
91,17,1,1,10,5, , , ,96707,81284,34.7
96,14,1,7, , , , , ,87111,51005,35.3
100,15,1,4,8,5, , , ,6032,70429,37.8
103,14,1,7, , , , , ,52225, , 
104,17,0,7, , , , , ,24283, , 
109,14,1,3, , , , , ,19709,66647,35.2
110,17,0,7, , , , , ,30043,68914,36.5
111,17,0,7,1,5,5,5,5, , , 
111,17,0,7,12,5, , , ,70548, , 
116,13,1,1,8,3, , , ,99654,69121,21.9
118,14,0,1,4,5,3,3,3, , , 
118,14,0,1,9,5, , , ,92129,76207,38.8
119,15,0,7, , , , , ,30276,72787,31.3
120,13,1,7, , , , , ,77386,76811,33.1
121,14,1,3,4,6,5,5,4, , , 
121,14,1,3,9,6, , , ,38114,49647,31.8
122,16,0,7,11,5, , , ,92646,86217,40.3
123,17,1,4,11,4, , , ,75010,86291,46.1
124,15,0,7, , , , , ,94087,119035,51.7
125,13,0,4,7,6, , , ,90601,65006,32.3
126,14,0,1,5,5,5,4,4, , , 
126,14,0,1,8,5, , , ,92879,63944,22.2
127,17,1,7, , , , , ,28463, , 
128,13,1,7,6,6, , , ,32828,54107,34.1
130,15,0,7, , , , , ,25314,42197,25.7
134,16,1,2, , , , , ,31903,42107,25.7
135,16,1,1,3,5,4,4,4, , , 
135,16,1,1,10,5, , , ,11367,64509,30.9
138,14,0,7, , , , , ,76450, , 
141,15,1,3,9,4, , , ,18643,51332,23.9
143,16,1,7, , , , , ,30458,42138,26.5
144,13,0,7, , , , , ,35160,39731,14.3
146,14,0,7, , , , , ,8234,61777,28.4
147,17,0,3,11,6, , , ,7106,60430,35.6
148,16,1,7, , , , , ,90212,65006,32.3
150,15,0,1,4,6,5,5,5, , , 
150,15,0,1,9,6, , , ,91763,60420,20.5
152,13,0,7, , , , , ,44012,54932,23.6
153,15,0,7, , , , , ,93638,51283,15.3
157,13,0,7, , , , , ,31722, , 
158,16,0,3,3,5,3,3,3, , , 
158,16,0,3,10,5, , , ,36605,46023,23
160,17,0,7, , , , , ,64060,66938,32.6
163,17,1,1,2,5,4,4,5, , , 
163,17,1,1,11,5, , , ,27858,45849,34.6
164,16,1,1,2,5,4,4,3, , , 
164,16,1,1,11,5, , , ,21108,97085,40.7
165,17,1,7, , , , , ,15084,58625,41.4
167,17,1,1,2,6,2,3,3, , , 
167,17,1,1,11,6, , , ,84094,71471,36
168,17,0,4,11,2, , , ,92335,60420,20.5
169,15,0,7,4,4,4,5,3, , , 
169,15,0,7,9,4, , , ,46013,43060,18.8
170,15,0,7, , , , , ,32205,52062,29.4
172,14,0,7, , , , , ,78222,54175,27.8
176,13,0, , , , , , ,84078, , 
177,16,0,1,3,5,3,3,3, , , 
177,16,0,1,10,5, , , ,29681,55914,34.5
180,17,0,4,11,2, , , ,6608,91198,47.1
181,16,1,7, , , , , ,70787, , 
182,16,0,7, , , , , ,75034,86291,46.1
183,13,0,7, , , , , ,78634,81719,40.9
184,17,0,7,11,2, , , ,42541, , 
185,16,1,1,2,5,3,3,4, , , 
185,16,1,1,11,5, , , ,33027,56842,32.7
187,16,1,7, , , , , ,44012,54932,23.6
191,17,1,7, , , , , ,46311,54981,22.6
194,15,0,2, , , , , ,91786,60420,20.5
195,13,1,7, , , , , ,5677, , 
197,14,1,1,5,5,5,5,5, , , 
197,14,1,1,8,5, , , ,75019,56718,30.6
198,16,1,3, , , , , ,28398, , 
199,17,0,7,10,2, , , ,37660,44909,23.7
200,15,0,7, , , , , ,10012,85071,60.6
203,15,1,7, , , , , ,63303,81594,39.4
205,15,1,7, , , , , ,31313, , 
208,13,1,7, , , , , ,94583,95339,42.2
209,15,0,2, , , , , ,28540,49883,22.3
213,17,0,7, , , , , ,49277,50258,22.2
218,16,0,4,2,5,5,5,5, , , 
218,16,0,4,11,5, , , ,33301,56842,32.7
221,14,0,3, , , , , ,30354,65037,51.2
222,16,1,7, , , , , ,7860,90026,36.7
223,17,0,7, , , , , ,54902,56678,29.5
224,15,0,7, , , , , ,77563,70494,31.2
226,13,0,7, , , , , ,44105,46784,32.6
230,17,1,3, , , , , ,89107,57189,24.4
231,14,1,7, , , , , ,21901,74912,24.7
232,16,0,7,9,3, , , ,44507,43389,22.7
233,17,0,7, , , , , ,71331, , 
234,13,0,1,7,6, , , ,85023,62223,32.3
235,17,1,4,2,5,3,3,3, , , 
235,17,1,4,11,5, , , ,85048,62223,32.3
237,17,0,3,2,5,3,2,2, , , 
237,17,0,3,11,5, , , ,30180,50100,23
242,13,0,4,7,2, , , ,6098,78436,36.5
245,17,1,4,2,4,2,2,2, , , 
245,17,1,4,11,4, , , ,53954, , 
251,13,1,7,7,6, , , ,23707,50242,22.5
253,14,1,1,8,6, , , ,24179,64287,34.8
254,14,1,7, , , , , ,97520,51409,28.4
255,14,0,3,5,6,5,4,4, , , 
255,14,0,3,8,6, , , ,32207,52062,29.4
256,17,1,7,2,6,2,1,2, , , 
256,17,1,7,11,6, , , ,55113,61962,42.4
259,16,1,7, , , , , ,16063,68934,36.3
260,17,0,7, , , , , ,35085, , 
261,17,0,7, , , , , ,97223,80946,45.8
264,14,0,1,9,6, , , ,94582,95339,42.2
266,14,1,3,8,6, , , ,38821, , 
268,16,1,7,10,2, , , ,40258,55044,33.5
269,14,1,2, , , , , ,45202,55048,37.3
270,15,1,7,4,3,4,4,4, , , 
270,15,1,7,9,3, , , ,86406,42311,13.5
271,15,0,1,4,5,4,5,4, , , 
271,15,0,1,9,5, , , ,89118,57189,24.4
272,17,0,7, , , , , ,32763,46901,22.7
274,15,0,7,4,5,5,5,5, , , 
274,15,0,7,9,5, , , ,71457, , 
278,15,1,1,4,5,4,3,3, , , 
278,15,1,1,9,5, , , ,8807,112153,52.5
279,14,1,4,10,6, , , ,33569,54731,33.3
285,14,1,3,7,6, , , ,23860, , 
286,13,1,1,7,6, , , ,2184,100829,53.5
287,15,1,7, , , , , ,37921,55266,37.3
291,15,0,2, , , , , ,7631,94107,48.9
292,13,0,4,5,6,2,4,3, , , 
292,13,0,4,8,6, , , ,33896,48475,19
294,17,0,7,2,4,3,3,3, , , 
294,17,0,7,11,4, , , ,55372,98538,41.7
297,14,0,1,4,6,4,5,5, , , 
297,14,0,1,9,6, , , ,6051,70429,37.8
300,15,0,7, , , , , ,92336,60420,20.5
301,14,0,7,5,5,5,3,3, , , 
301,14,0,7,8,5, , , ,55350, , 
302,15,1,7, , , , , ,74437, , 
305,16,0,4,9,2, , , ,81004,43148,22.2
308,14,1,7, , , , , ,14626,57561,37.3
310,13,0,4,7,5, , , ,73432, , 
311,14,0,2, , , , , ,72701,50169,32.8
313,17,0,7, , , , , ,15906,46598,21.3
314,15,1,3,11,6, , , ,19135,39759,28.3
316,16,1,7, , , , , ,76528,52769,16.9
317,17,0,3,1,5,2,3,3, , , 
317,17,0,3,12,5, , , ,30310,65037,51.2
320,15,0,7, , , , , ,37774, , 
323,17,0,7,12,6, , , ,19330,96656,52.3
324,16,1,2, , , , , ,63080, , 
326,17,0,7, , , , , ,50677, , 
328,17,0,7, , , , , ,70380, , 
329,13,1,3, , , , , ,33311,56842,32.7
334,13,0,3, , , , , ,19144,39759,28.3
335,16,0,7, , , , , ,30184,54218,21
336,17,1,3,12,4, , , ,28212,65588,46.1
337,17,0,1,12,5, , , ,92555,63944,22.2
338,14,1,7,5,6,3,3,3, , , 
338,14,1,7,8,6, , , ,96786,81284,34.7
340,15,0,1,4,5,5,4,5, , , 
340,15,0,1,9,5, , , ,19901,57608,23.3
341,15,1,3, , , , , ,60628,61405,38.6
343,13,0,1,5,5,4,4,4, , , 
343,13,0,1,8,5, , , ,90808,65006,32.3
345,13,0,7, , , , , ,16803,55895,45.5
347,16,0,7,3,1,5,5,5, , , 
347,16,0,7,10,1, , , ,13104,57652,35.9
349,14,1,1,4,5,3,3,3, , , 
349,14,1,1,9,5, , , ,91006,65006,32.3
354,16,1,7, , , , , ,29592, , 
356,13,1,7, , , , , ,60642,61405,38.6
359,15,1,7, , , , , ,4092,71975,47.2
361,14,0,7, , , , , ,19044,87304,50.2
362,15,1,7, , , , , ,63366,81594,39.4
363,16,1,7, , , , , ,27501,51479,21.9
365,17,0,3,10,6, , , ,93304,49854,16
369,15,0,1,4,6,3,3,3, , , 
369,15,0,1,9,6, , , ,91711,65006,32.3
370,13,1,7, , , , , ,29627,48593,20.8
372,15,1,7, , , , , ,21740,60385,23.9
374,15,1,7,9,2, , , ,2745,67842,28.9
378,14,0,7, , , , , ,33545,51347,23.3
379,13,1,3,6, , , , ,39194, , 
380,13,0,4,6,2, , , ,7631,94107,48.9
381,17,0,4,12,1, , , ,10990,79311,31
382,15,1,7, , , , , ,49307, , 
384,16,1,7,9,1, , , ,57104,61083,31.4
387,17,0,3, , , , , ,75052,56718,30.6
389,15,1,7, , , , , ,20136,100845,40.1
390,14,1,7, , , , , ,33569,54731,33.3
391,13,0,7, , , , , ,76108,65052,31.4
393,14,1,3,8,5, , , ,31211,37444,24.9
395,16,0,7, , , , , ,20878,103235,57.8
401,13,0,4,7,2, , , ,68005,80694,42.2
403,17,0,4,3,5,2,2,2, , , 
403,17,0,4,10,5, , , ,75006,56718,30.6
404,14,1,7, , , , , ,44310,55419,32.8
405,13,1,6, , , , , ,85037,62223,32.3
406,13,1,7, , , , , ,45426,47755,27.9
407,15,1,7, , , , , ,16602,45957,21
408,16,0,4,3,6,5,5,5, , , 
408,16,0,4,10,6, , , ,32822,54107,34.1
410,15,1,7, , , , , ,99403, , 
411,13,1,2, , , , , ,27017,42438,20.6
412,15,1,7,4,4,1,1,1, , , 
412,15,1,7,9,4, , , ,6790,78436,36.5
415,16,0,1,2,5,4,4,4, , , 
415,16,0,1,11,5, , , ,1824,98555,56
419,15,0,7, , , , , ,40489, , 
420,15,0,7,4,6,5,5,5, , , 
420,15,0,7,9,6, , , ,46947, , 
421,16,1,3,9,4, , , ,95206,61164,18.9
424,17,0,3,12,5, , , ,8049,66196,32.7
428,14,1,8, , , , , ,30022,65037,51.2
429,13,0,2, , , , , ,63303,81594,39.4
430,17,1,7, , , , , ,22844, , 
431,14,1,7, , , , , ,73119,51323,32.7
433,14,0,7, , , , , ,12443,63621,32.7
434,15,0,2, , , , , ,24112, , 
435,13,0,2, , , , , ,34609,44892,18.9
436,17,1,7, , , , , ,19135,39759,28.3
437,14,1,7, , , , , ,7204,77326,34.8
438,15,1,7, , , , , ,12446,63621,32.7
439,15,1,7,9,6, , , ,32827,54107,34.1
440,16,1,4,10,5, , , ,33312,56842,32.7
443,13,1,7, , , , , ,16602,45957,21
445,14,0,7, , , , , ,90504,65006,32.3
446,17,1,1,2,5,4,4,4, , , 
446,17,1,1,11,5, , , ,1801,98555,56
448,14,0,7,5,5,2,1,1, , , 
448,14,0,7,8,5, , , ,15144,58625,41.4
449,15,0,1,4,6,2,1,1, , , 
449,15,0,1,9,6, , , ,92782,86217,40.3
450,17,0,7, , , , , ,76372, , 
452,15,0,7, , , , , ,37620,44909,23.7
454,17,1,3,1,2,3,3,3, , , 
454,17,1,3,12,2, , , ,30206, , 
455,16,0,7, , , , , ,99338,63346,29.8
456,15,0,3,10,6, , , ,37027,105622,60.1
457,15,1,7, , , , , ,93245,57555,13.2
458,15,0,7,10, , , , ,27295,46802,17.3
460,16,0,7, , , , , ,89506,61498,31.1
461,16,0,3,3,5,5,3,4, , , 
461,16,0,3,10,5, , , ,30223,47027,19.2
462,15,1,7, , , , , ,45879, , 
464,16,0,7, , , , , ,16438,50614,27.1
466,14,1,7, , , , , ,6498,79646,39.7
467,14,0,7, , , , , ,73099,74720,27.2
469,14,1,7, , , , , ,48059,57362,18.4
470,13,0,7, , , , , ,20657,100590,33.8
471,15,0,7, , , , , ,47172,52036,18.8
472,14,1,3,4,5,3,3,2, , , 
472,14,1,3,9,5, , , ,20601,97986,31.5
473,15,0,2, , , , , ,12180,64050,31.8
474,17,1,7, , , , , ,96818,81284,34.7
475,17,1,3,12,1, , , ,75241,56718,30.6
477,16,0,7, , , , , ,48197,70286,54.5
478,13,1,3,8,2, , , ,72315, , 
479,17,0,4,2,6,3,5,5, , , 
479,17,0,4,11,6, , , ,77362,76811,33.1
480,17,1,7, , , , , ,32118,46901,22.7
482,14,0,7,5,5,3,3,3, , , 
482,14,0,7,8,5, , , ,30165,45854,18.9
483,17,0,7, , , , , ,98019,89675,51.5
484,15,0,7, , , , , ,46816,52484,26.3
487,14,0,3,5,5,2,3,2, , , 
487,14,0,3,8,5, , , ,29687,55914,34.5
488,15,0,7, , , , , ,37843, , 
494,14,1,8, , , , , ,7034,114732,52.5
495,14,1,7, , , , , ,16142,49967,22.7
499,17,0,7, , , , , ,66619,57095,34
500,14,0,1,5,6,3,3,4, , , 
500,14,0,1,8,6, , , ,95835,63045,30.5
501,16,0,7, , , , , ,10009,85071,60.6
503,15,0,7, , , , , ,44505,43389,22.7
504,15,0,7, , , , , ,55963, , 
506,13,0,3,7,5, , , ,31088,58525,31.2
507,14,1,7, , , , , ,33255, , 
508,17, , , , , , , ,48708,44770,21.9
509,17,0,7,12,6, , , ,33776,51512,31.3
511,17,1,7, , , , , ,37774, , 
512,17,0,3, , , , , ,10002,85071,60.6
515,14,0,7, , , , , ,34609,44892,18.9
517,14,0,2, , , , , ,93312,49854,16
519,16,1,2, , , , , ,34668,51347,23.3
521,16,0,7, , , , , ,75098,94933,52
522,17,0,7,11,5, , , ,46131,70339,34.2
523,14,1,7, , , , , ,89148,57189,24.4
524,16,0,7, , , , , ,18509,49172,29.1
525,13,1,3,6,4, , , ,77338,58645,30.7
526,15,1,1,9,6, , , ,11364,64509,30.9
527,13,1,7, , , , , ,32258,52062,29.4
528,17,1,3,12,2, , , ,10310,79201,33.1
529,13,1,7, , , , , ,29506,42929,24.5
530,14,0,1,8,4, , , ,61704,68274,45.3
531,16,1,7, , , , , ,76442, , 
535,17,0,7, , , , , ,94523,95339,42.2
536,13,0,1,7,2, , , ,64119,66938,32.6
538,14,1,7,8, , , , ,84058,70417,41.8
539,16,0,4,4,4,4,4,3, , , 
539,16,0,4,9,4, , , ,33809,48475,19
540,15,0,7,1,5,3,2,2, , , 
540,15,0,7,12,5, , , ,34711,51383,24.6
544,14,0,3,9,6, , , ,78239,54175,27.8
545,17,0,6, , , , , ,78065, , 
549,13,1,7, , , , , ,1104,51726,27.3
550,15,0,7, , , , , ,71110,49038,23.1
554,17,0,7, , , , , ,2740,67842,28.9
555,14,1,4,5,2,2,2,2, , , 
555,14,1,4,8,2, , , ,75150,56718,30.6
557,15,0,3,9,5, , , ,48225,45135,23.4
558,16,0,7,10,1, , , ,32548,61866,31.3
560,15,1,7, , , , , ,2882,79374,43.3
561,16,0,3, , , , , ,70114,36999,35.3
562,16,0,7, , , , , ,63385,81594,39.4
563,16,1,7, , , , , ,7901,77326,34.8
565,17,0,7, , , , , ,65804,45117,31.2
567,15,0,7, , , , , ,60450, , 
568,15,1,7, , , , , ,92345,60420,20.5
569,15,1,1,2,5,2,2,3, , , 
569,15,1,1,11,5, , , ,95966,49061,26.6
570,16,1,4,3,6,4,4,4, , , 
570,16,1,4,10,6, , , ,91730,60420,20.5
572,17,0,7, , , , , ,49245,45386,21.9
573,16,1,7, , , , , ,55379,98538,41.7
574,16,0,7, , , , , ,19529,61058,23.8
577,15,1,7, , , , , ,2124,66459,44.7
579,17,0,7, , , , , ,65804,45117,31.2
583,13,0,7, , , , , ,33991,53928,27.3
584,14,0,2, , , , , ,68504,59306,38.5
585,17,0,1,5,1, , , ,10009,85071,60.6
587,13,1,7, , , , , ,10033,85071,60.6
589,15,0,3,10,1, , , ,70501,52265,32.9
590,15,0,7, , , , , ,43230,59227,38.7
591,14,1,3,5,2,3,4,4, , , 
591,14,1,3,8,2, , , ,71202,40161,23.6
592,13, ,1,7,6, , , ,60154,61405,38.6
593,15,0,3,4,5,2,3,3, , , 
593,15,0,3,9,5, , , ,36541,46023,23
599,17,1,7, , , , , ,32771,64049,41.6
600,14,0,7, , , , , ,85298,62223,32.3
602,15,0,4,10,6, , , ,60612,61405,38.6
604,15,0,7, , , , , ,7407,94107,48.9
605,15,0,7, , , , , ,32254,52062,29.4
606,15,1,1,4,5,5,4,4, , , 
606,15,1,1,9,5, , , ,96797,81284,34.7
608,15,0,3, , , , , ,29678,50192,26.8
609,17,1,1,3,5,5,4,4, , , 
609,17,1,1,10,5, , , ,46711, , 
610,13,0,7, , , , , ,14901,51194,23.9
615,15,0,1,4,3,3,2,3, , , 
615,15,0,1,9,3, , , ,11368,64509,30.9
618,15,1,7, , , , , ,72642, , 
619,17,0,7,3,5,2,3,3, , , 
619,17,0,7,10,5, , , ,29708,62217,34.6
621,17,1,4,11,6, , , ,29588,45680,22.7
622,16,1,7, , , , , ,8501,98270,45.7
624,14,0,2, , , , , ,43213,59227,38.7
625,14,1,7,7,4, , , ,28578,44347,20.3
626,15,1,7, , , , , ,98580,69278,26
627,14,1,7, , , , , ,98058,89675,51.5
628,15,0,7, , , , , ,75287,86291,46.1
629,13,0,1,7,5, , , ,94538,96296,46.4
630,16,1,7, , , , , ,19050,73854,40.3
636,14,1,1,5,6,4,4,4, , , 
636,14,1,1,8,6, , , ,10462,37397,19.6
637,16,0,3,5,5,5,5,5, , , 
637,16,0,3,8,5, , , ,77705,47657,18.9
641,17,0,7, , , , , ,48021,60380,24.8
642,15,0,2, , , , , ,89147,57189,24.4
643,13,0,7, , , , , ,28590,45849,34.6
645,17,0,4,9,6, , , ,75098,94933,52
647,16,0,1,3,6,4,4,4, , , 
647,16,0,1,10,6, , , ,18040,66066,29.9
649,13,0,7, , , , , ,75002,94933,52
652,14,1,7, , , , , ,27519,77318,52.2
653,14,0,1,9,5, , , ,92126,76207,38.8
656,14,0,7, , , , , ,47909,52183,41.3
661,15,1,7, , , , , ,61883,42345,16.8
662,17,1,7, , , , , ,81001,43148,22.2
664,13,0,7, , , , , ,76542,52479,26.9
665,15,1,7, , , , , ,3103,78769,37.6
671,16,0,7, , , , , ,30809,74164,35.5
673,17,1,7,3,4,1,1,1, , , 
673,17,1,7,10,4, , , ,72076,52450,34.7
674,17,0,7, , , , , ,60442,82196,32.7
676,13,1,7, , , , , ,75067,86291,46.1
677,17,0,7, , , , , ,94565,95339,42.2
678,15,1,7, , , , , ,31788, , 
679,14,0,7,7,5, , , ,11590,108133,45.1
683,15,0,7, , , , , ,27565, , 
685,15,1,4,5,5,3,5,5, , , 
685,15,1,4,8,5, , , ,10454,37397,19.6
688,14,1,7, , , , , ,14590,51326,21.8
689,14,1,7, , , , , ,45044,64023,29.3
690,16,1,4,3,2,1,1,1, , , 
690,16,1,4,10,2, , , ,75249,56718,30.6
692,16,0,7,3,4,1,1,3, , , 
692,16,0,7,10,4, , , ,46816,52484,26.3
695,14,0,4,5,6,3,3,3, , , 
695,14,0,4,8,6, , , ,8107,66196,32.7
696,17,0,1,1,6,3,3,3, , , 
696,17,0,1,12,6, , , ,95128,119035,51.7
698,13,0,7, , , , , ,20147,135842,62.1
699,14,1,7, , , , , ,63801, , 
703,13,0,3, , , , , ,90062,65006,32.3
705,15,0,1,8,4, , , ,76710,47267,24.6
706,16,0,3, , , , , ,32207,52062,29.4
708,15,1,7, , , , , ,33146,49930,29.3
709,17,0,7,1,5,3,3,3, , , 
709,17,0,7,12,5, , , ,50310,65995,35.3
710,15,1,3,4,2,4,4,4, , , 
710,15,1,3,9,2, , , ,27803,47289,22
712,13,0,7, , , , , ,84054,80301,38.9
714,14,0,4,8,5, , , ,32822,54107,34.1
718,14,1,7, , , , , ,62265, , 
720,14,0,5, , , , , ,61554,60306,28.7
721,15,1,7, , , , , ,62305,48679,26.3
722,16,0,1,2,6,2,3,3, , , 
722,16,0,1,11,6, , , ,90019,65006,32.3
726,15,0,7, , , , , ,2766,67842,28.9
728,13,1,7, , , , , ,33756,51512,31.3
729,13,0,2, , , , , ,96130, , 
730,15,0,3,10, , , , ,10003,85071,60.6
731,16,0,2, , , , , ,84009, , 
732,13,1,7, , , , , ,33437,60057,36.2
733,13,0,2, , , , , ,34741,49762,19.1
734,13,1,7, , , , , ,95765,80728,37.2
736,15,1,7, , , , , ,19020,84749,41.4
737,13,1,4,6,6, , , ,44481,46201,18.7
739,17,0,1,11,6, , , ,55442,74592,50.2
742,14,1,1,7,6, , , ,65802,45117,31.2
744,15,0,7, , , , , ,66048,70920,32.6
745,13,0,7, , , , , ,73071,61213,33.6
746,17,1,1,1,5,4,3,3, , , 
746,17,1,1,12,5, , , ,98075,89675,51.5
748,17,0,7, , , , , ,18655,51332,23.9
749,17,0,7, , , , , ,10456,37397,19.6
750,14,1,7, , , , , ,84084,71471,36
752,17,0,7, , , , , ,82083, , 
753,17,0,3,2,6,5,5,5, , , 
753,17,0,3,11,6, , , ,30101,75654,46.7
759,17,0,7,2,5,3,3,2, , , 
759,17,0,7,11,5, , , ,12842, , 
761,13,0,3,7,6, , , ,92346,60420,20.5
762,13,1,7, , , , , ,2072,100829,53.5
766,13,1,4,5,5,5,5,5, , , 
766,13,1,4,8,5, , , ,11369,64509,30.9
768,16,1,1,2,5,4,3,4, , , 
768,16,1,1,11,5, , , ,95831,63045,30.5
769,17,1,7, , , , , ,45066,84130,42.4
773,14,0,3,6,4, , , ,31401,55352,32.7
775,15,1,3,10,2, , , ,32304,51642,46.9
776,13,0,7, , , , , ,46140,70473,32.7
778,14,1,6, , , , , ,63362, , 
780,13,0,7, , , , , ,53214,47591,30.7
784,13,1,7, , , , , ,2072,100829,53.5
790,17,0,7, , , , , ,83202,51612,29.5
791,15,0,2, , , , , ,79519, , 
794,17,0,4,11,1, , , ,53203,47591,30.7
796,15,1,7, , , , , ,40223,55044,33.5
798,17,1,7, , , , , ,36266, , 
799,13,0,7, , , , , ,76009,62482,18.5
800,15,1,7,5,6,4,4,4, , , 
800,15,1,7,8,6, , , ,63010,62228,22.7
801,13,0,1,7,5, , , ,33544,51347,23.3
803,15,1,7, , , , , ,40243,55044,33.5
804,14,0,7, , , , , ,75604,47095,18.6
805,17,1,4,2,6,4,4,3, , , 
805,17,1,4,11,6, , , ,78041,43408,17.1
806,14,1,4,7,2, , , ,10029,85071,60.6
808,17,1,7, , , , , ,90247,65006,32.3
811,17,0,4,12,2, , , ,11435,64509,30.9
813,15,0,4,9,6, , , ,93704,51800,20.4
814,16,0,2, , , , , ,34759,48475,19
815,17,1,7, , , , , ,60140,75628,32.4
816,13,0,2, , , , , ,90016,65006,32.3
818,17,0,4,12,2, , , ,76109,65052,31.4
819,16,1,3, , , , , ,31006, , 
821,14,0,7, , , , , ,41051,58595,32.1
826,13,1,7, , , , , ,48912,50896,38.5
828,15,1,7, , , , , ,74055,52441,31.7
830,15,1,7, , , , , ,90505,65006,32.3
831,13,1,3,5,6,4,4,4, , , 
831,13,1,3,8,6, , , ,76063,65052,31.4
833,15,0,2, , , , , ,2124,66459,44.7
836,16,1,7, , , , , ,66609,57095,34
837,13,0,7, , , , , ,36301,44529,22
838,15,0,7, , , , , ,53213,47591,30.7
840,13,1,7,6,5, , , ,12020,83726,42.1
841,14,0,7, , , , , ,48917,64522,28.9
842,13,0,1,7,6, , , ,14150,55604,34.4
845,15,1,3, , , , , ,11213,56942,37.1
847,15,0,7,9,6, , , ,85017,62223,32.3
854,13,1,1,8,5, , , ,99654,69121,21.9
855,17,1,7, , , , , ,34638,51347,23.3
861,15,1,7, , , , , ,18504,49172,29.1
862,14,0,7, , , , , ,71847, , 
863,13,0,1,7,6, , , ,19425,96656,52.3
864,16,1,1,10,6, , , ,40513,56137,43.6
866,17,0,7, , , , , ,67214,53923,31
867,14,1,7, , , , , ,71801, , 
868,15,0,7, , , , , ,28078,65588,46.1
871,16,0,3, , , , , ,6706,66863,34.2
873,17,1,7, , , , , ,91786,60420,20.5
875,13,0,1,5,5,3,4,3, , , 
875,13,0,1,8,5, , , ,11375,64509,30.9
876,14,0,7, , , , , ,37662, , 
879,14,1,7,7,5, , , ,25702,33750,27
881,13,0,4,5,5,4,5,4, , , 
881,13,0,4,8,5, , , ,10468,37397,19.6
883,15,0,7, , , , , ,89011,57189,24.4
884,15,0,7, , , , , ,21562,42019,17
885,13,1,3,8, , , , ,30044,68914,36.5
886,17,1,7, , , , , ,2601,71235,44.6
887,16,1,4,2,5,2,2,2, , , 
887,16,1,4,11,5, , , ,95340,47735,13.4
889,14,0,7,4,5,1,2,3, , , 
889,14,0,7,9,5, , , ,24211, , 
891,14,1,7, , , , , ,20109,100845,40.1
892,16,0,7, , , , , ,60526,61405,38.6
896,15,0,7, , , , , ,30549,66557,22.6
898,17,1,1,2,6,3,5,3, , , 
898,17,1,1,11,6, , , ,91711,65006,32.3
904,15,1,7,4,5,2,3,3, , , 
904,15,1,7,9,5, , , ,63021,64784,42.8
909,16,1,7, , , , , ,21222,73805,39.1
